店名,住所,区名,評価,コメント数,保存数,営業時間,定休日,予算,個室有無,席数,駐車場有無
燕三条 豊潤亭,小金井市本町2-6-10 シティライブ武蔵小金井 1F,小金井市,3.67,439,10792,[平日・土日祝]10:00～23:00（L.O）※10:00から営業‼︎※材料なくなり次第早じまいあります。,[平日・土日祝]10:00～23:00（L.O）※10:00から営業‼︎※材料なくなり次第早じまいあります。,～￥999,無,9席,無
麺家 たいせい,中野区中央2-2-1 ベル中野坂上,中野区,3.67,425,16422,11:00～20:00,11:00～20:00,～￥999,無,14席,無
ガンコンヌードル（GANCON NOODLE）,北区中里1-3-3 板橋ビル 1F,北区,3.67,424,14919,11:00～21:00(従来は22時迄の営業。コロナのため時短営業中),11:00～21:00(従来は22時迄の営業。コロナのため時短営業中),"￥1,000～￥1,999",無,8席,無
いずみ家,大田区東馬込1-12-2,大田区,3.67,413,12555,[月・火・木・金・土・日]11:00～15:00 17:00～20:00,[月・火・木・金・土・日]11:00～15:00 17:00～20:00,"￥1,000～￥1,999",無,15席,無
こいけのいえけい,文京区千石4-25-6 夏野マンション102,文京区,3.67,404,13347,昼の部  11:00～15:00夜の部  17:30～21:00,昼の部  11:00～15:00夜の部  17:30～21:00,～￥999,無,8席,無
中華そば つけそば 伊蔵八本店,荒川区西日暮里5-21-2,荒川区,3.67,400,8190,,,～￥999,無,9席,無
貝麺 みかわ,世田谷区北沢2-25-4,世田谷区,3.67,399,14037,11:00～15:00(L.O.14:50)17:00～21:00(L.O.20:45),11:00～15:00(L.O.14:50)17:00～21:00(L.O.20:45),～￥999,無,7席,無
じゃぐら,杉並区高円寺南2-21-7 千代田ビル,杉並区,3.67,380,16276,［月～金］11:30～16:00／18:00～22:00（L.O.21:30）［土・日・祝］11:30～21:00（L.O.20:30）,［月～金］11:30～16:00／18:00～22:00（L.O.21:30）［土・日・祝］11:30～21:00（L.O.20:30）,～￥999,無,11席,無
中華そば つけ麺 甲斐（カイ）,杉並区久我山2-27-1,杉並区,3.67,361,9476,,,～￥999,無,7席,無
ラハメン ヤマン（Yahman）,練馬区栄町22-1,練馬区,3.67,350,9361,11:30～16:00 18:00～21:00,11:30～16:00 18:00～21:00,～￥999,無,9席,無
ラーメン英二,府中市晴見町3-1-22 レジェンドチダ第2ビル 1F,府中市,3.67,330,9779,［月～金］11:30～14:3017:30～20:00※材料切れ終了あり,［月～金］11:30～14:3017:30～20:00※材料切れ終了あり,～￥999,無,10席,無
中華そば 向日葵,三鷹市下連雀1-4-19,三鷹市,3.67,306,12218,11:00～14:30 18:00～21:00,11:00～14:30 18:00～21:00,～￥999,有,7席,有
ラーメン富士丸 西新井大師店（ラーメンフジマル　【旧店名】○二　マルジ）,足立区西新井1-7-7,足立区,3.67,305,10650,［火〜日・祝］18:00～24:00,［火〜日・祝］18:00～24:00,"￥1,000～￥1,999",無,13席,無
ヌードルボウズ n坊（エヌボウ）,台東区浅草橋1-33-5 むさしやビル 1F,台東区,3.67,283,7639,月～金曜日11時～14時45分18時～21時土曜日11時～15時の昼営業のみ日曜日は定休日です,月～金曜日11時～14時45分18時～21時土曜日11時～15時の昼営業のみ日曜日は定休日です,"￥1,000～￥1,999",無,12席,無
麺屋 我論（めんやがろん）,新宿区歌舞伎町1-1-5 Diner5GALLONS 1F,新宿区,3.67,274,14573,11:30〜15:00/18:30〜22:30,11:30〜15:00/18:30〜22:30,～￥999,無,12席,無
麺屋 睡蓮,文京区湯島2-2-1 東邦深澤ビル1F,文京区,3.67,272,10250,［月～金］11:00～15:0018:00～21:00(食べ物L.O.19:45、飲み物L.O.21:00 ）［土］11:00～15:00(材料売切れの場合は閉店),［月～金］11:00～15:0018:00～21:00(食べ物L.O.19:45、飲み物L.O.21:00 ）［土］11:00～15:00(材料売切れの場合は閉店),"￥1,000～￥1,999",無,10席,無
らーめん三極志,荒川区東日暮里 6-10-1 東日暮里十番コープ 1F,荒川区,3.67,257,8237,11:00～15:00 18:00～20:00,11:00～15:00 18:00～20:00,～￥999,無,10席,無
麺屋 HERO（麺屋 ヒーロー）,文京区本駒込5-41-5 松岡ビル 1F,文京区,3.67,245,6352,[月・火・木・金]11:00～14:0018:00～22:00[土・日]10:00～16:00,[月・火・木・金]11:00～14:0018:00～22:00[土・日]10:00～16:00,"￥1,000～￥1,999",無,8席,無
裏サブロン（【旧店名】カリフォルニアフュージョン）,荒川区東日暮里5-1-2,荒川区,3.67,236,15340,,,"￥1,000～￥1,999",無,3席,無
鶯屋,世田谷区砧8-10-1 プラッツ砧 1F,世田谷区,3.67,233,5292,[月～日]11:30～15:0017:00～21:00,[月～日]11:30～15:0017:00～21:00,"￥1,000～￥1,999",無,8席,無
ラーメン二郎 一橋学園店,小平市学園西町2-13-4,小平市,3.67,226,2171,[月・火・水・金]11:00～14:0017:30～20:30[土]11:00～15:0017:30～20:30[日]11:00～16:00,[月・火・水・金]11:00～14:0017:30～20:30[土]11:00～15:0017:30～20:30[日]11:00～16:00,～￥999,無,11席,無
麺や 河野,板橋区赤塚新町2-2-13,板橋区,3.67,226,11041,[水～日]12:00～15:0018:00～21:00[月]12:00～15:00,[水～日]12:00～15:0018:00～21:00[月]12:00～15:00,～￥999,無,10席,無
支那そば あおば（しなそばあおば）,武蔵野市関前4-16-6,武蔵野市,3.67,222,5371,11:00～15:30,11:00～15:30,"￥1,000～￥1,999",無,7席,無
yagu-noodle（ヤグ ヌードル）,江東区千田5-10 青木ビル 1F,江東区,3.67,220,6547,［月〜金］11:00～14:00 18：00～20:00［土］11：00〜14：00  18：00〜20：00[日]（ランチ営業のみ）11:00～14:00,［月〜金］11:00～14:00 18：00～20:00［土］11：00〜14：00  18：00〜20：00[日]（ランチ営業のみ）11:00～14:00,"￥1,000～￥1,999",無,12席,無
きくや（㐂九家）,青梅市今寺5-18-49,青梅市,3.67,214,5744,［火～金］11:30～14:30［土・日］11:00～15:00,［火～金］11:30～14:30［土・日］11:00～15:00,～￥999,有,18席,有
中華そば はな田,世田谷区上北沢4-16-10,世田谷区,3.67,213,9589,火〜土曜日11:00～15:0018:00～21:00（スープがなくなり次第終了）日曜日11:00～15:00,火〜土曜日11:00～15:0018:00～21:00（スープがなくなり次第終了）日曜日11:00～15:00,～￥999,無,17席,無
ramen club トトノエ,葛飾区東金町1-20-14 吉六ビル 1F,葛飾区,3.67,195,4934,11:00～15:30,11:00～15:30,"￥1,000～￥1,999",無,8席,無
麺食堂くにを,国分寺市本町2-25-5,国分寺市,3.67,193,4898,[月・火・木・金・土]11:30～14:40(L.O.)18:00～20:40(L.O.)[水]11:30～14:40(L.O.),[月・火・木・金・土]11:30～14:40(L.O.)18:00～20:40(L.O.)[水]11:30～14:40(L.O.),～￥999,無,7席,無
中華蕎麦 はる,杉並区下井草3-30-14,杉並区,3.67,184,4949,11:30～14:30（L.O.）17:30～20:30（L.O.）,11:30～14:30（L.O.）17:30～20:30（L.O.）,～￥999,無,10席,無
Dad's Ramen 夢にでてきた中華そば,目黒区自由が丘3-7-1,目黒区,3.67,182,10328,[月～金] 11:00～14:00(材料切れ次第終了),[月～金] 11:00～14:00(材料切れ次第終了),"￥1,000～￥1,999",無,7席,無
仙臺自家製麺こいけ屋 分店 綠栽（RYOKUSAI）,葛飾区新小岩2-13-4 佐藤マンション 1F,葛飾区,3.67,175,6315,綠栽(昼営業)11:00～15:00（L.O.14:30）深綠栽(夜営業)17:30〜22:00(Ｌ.O21:30),綠栽(昼営業)11:00～15:00（L.O.14:30）深綠栽(夜営業)17:30〜22:00(Ｌ.O21:30),"￥3,000～￥3,999",無,10席,無
RAMEN WANTO（ラーメン ワントウ）,国分寺市南町3-1-2,国分寺市,3.67,158,4208,[水～日]11:00～15:00(L.O.14:45)18:00～21:00(L.O.20:45)[月]11:00～15:00(L.O.14:45),[水～日]11:00～15:00(L.O.14:45)18:00～21:00(L.O.20:45)[月]11:00～15:00(L.O.14:45),"￥1,000～￥1,999",無,12席,無
中華そば ふくみみ,府中市美好町1-33-1,府中市,3.67,146,4276,11:00～14:00,11:00～14:00,～￥999,無,11席,無
拉麺 瑞笑,国分寺市本町2-13-8,国分寺市,3.67,145,4235,平日11:30〜14:00LO17:30〜20:00LO土　日　祝日11:30〜14:30LO17:30〜20:00LO売り切れ早仕舞いあり,平日11:30〜14:00LO17:30〜20:00LO土　日　祝日11:30〜14:30LO17:30〜20:00LO売り切れ早仕舞いあり,～￥999,無,7席,無
アサガキタ,杉並区阿佐谷北2-11-1,杉並区,3.67,111,3817,[月・木・金・土]11:00～14:30[日]　　　　　　11:00～14:3017:30～20:00,[月・木・金・土]11:00～14:30[日]　　　　　　11:00～14:3017:30～20:00,～￥999,無,9席,無
竹韻飄香（ジュユィンピャオシャン）,渋谷区上原1-17-14 LAビル 1F,渋谷区,3.67,70,10412,18:00～22:00(L.O.21:00)◯年明けより営業時間をディナータイムのみとさせていただきます。当面の間、ランチタイムは休業致します。ディナーコースは当日も受付可能で御座います。お問い合わせお待ち申し上げます。大変恐縮ながら、コース料理のみ提供になります為、ネット予約を申し込み後、お店からの折り返し確認電話が繋がり次第でご予約完了となりますので、ご注意下さいませ。,18:00～22:00(L.O.21:00)◯年明けより営業時間をディナータイムのみとさせていただきます。当面の間、ランチタイムは休業致します。ディナーコースは当日も受付可能で御座います。お問い合わせお待ち申し上げます。大変恐縮ながら、コース料理のみ提供になります為、ネット予約を申し込み後、お店からの折り返し確認電話が繋がり次第でご予約完了となりますので、ご注意下さいませ。,"￥8,000～￥9,999",無,16席,無
すごい煮干ラーメン凪 新宿ゴールデン街店本館（【旧店名】ラーメン凪 煮干王）,新宿区歌舞伎町1-1-10 ゴールデン街(新宿ゴールデン街Ｇ２通り)  2F,新宿区,3.66,2473,67141,24時間営業10/16(月)の営業時間に関して19:00-22:00 一時閉店上記の時間において、撮影が入るため一時閉店の対応をさせていただきます。お客様にはご迷惑をおかけいたしますが、ご了承のほどよろしくお願い申し上げます。,24時間営業10/16(月)の営業時間に関して19:00-22:00 一時閉店上記の時間において、撮影が入るため一時閉店の対応をさせていただきます。お客様にはご迷惑をおかけいたしますが、ご了承のほどよろしくお願い申し上げます。,～￥999,無,10席,無
中国手打拉麺 馬賊 日暮里店（ばぞく）,荒川区西日暮里2-18-2 伊藤ビル 1F,荒川区,3.66,1562,53658,11:00～23:30,11:00～23:30,～￥999,無,32席,無
平太周 味庵（ヒラタイシュウアジアン）,品川区大崎4-2-2 トーカンマンション五反田　１Ｆ,品川区,3.66,1178,37635,[月～土・祝]11:00～23:00[日]11:00～22:00,[月～土・祝]11:00～23:00[日]11:00～22:00,～￥999,無,11席,無
道玄坂 マンモス,渋谷区道玄坂2-10-1,渋谷区,3.66,1070,30818,［月～日］11:30～22:00,［月～日］11:30～22:00,"￥1,000～￥1,999",無,11席,無
博多麺房 赤のれん 西麻布本店（はかためんぼう あかのれん）,港区西麻布3-21-24 第五中岡ビル　１Ｆ,港区,3.66,1057,36667,11:00～翌5:00,11:00～翌5:00,"￥1,000～￥1,999",無,20席,無
銀座鴨そば 九代目けいすけ 銀座店,中央区銀座6-12-15 いちご銀座612ビル 1F,中央区,3.66,1027,32444,11:00～22:00(L.O.21:30),11:00～22:00(L.O.21:30),"￥1,000～￥1,999",無,18席,無
らーめん 谷瀬家,港区新橋3-11-1 イーグル烏森ビル 1F,港区,3.66,992,23194,[月～日]11:00～翌2:00,[月～日]11:00～翌2:00,～￥999,無,12席,無
博多ラーメン しばらく 日本橋店,中央区日本橋蛎殻町2-14-4,中央区,3.66,966,32460,[月～金]11:00～22:30[土・日・祝]11:00～19:30,[月～金]11:00～22:30[土・日・祝]11:00～19:30,"￥1,000～￥1,999",無,32席,無
天鳳（てんほう）,港区六本木7-8-5 ロック＆ロックビル　１Ｆ,港区,3.66,915,33907,[月～金]11:00～22:00[土・祝]11:30～21:00,[月～金]11:00～22:00[土・祝]11:30～21:00,～￥999,無,22席,無
ラーメン 洞くつ家,武蔵野市吉祥寺南町2-2-4,武蔵野市,3.66,875,24363,[火～日・祝]6:00～23:00,[火～日・祝]6:00～23:00,～￥999,無,20席,無
ラーメン二郎 新宿歌舞伎町店,新宿区歌舞伎町2-37-5 日新ビル 1F,新宿区,3.66,856,11181,11:30～翌2:30,11:30～翌2:30,～￥999,無,14席,無
新世界菜館（シンセカイサイカン）,千代田区神田神保町2-2 新世界ビル,千代田区,3.66,831,42441,ランチ　11:00～15:00 (L.O 14:30)ディナー17:00～22:00 (L.O 21:00),ランチ　11:00～15:00 (L.O 14:30)ディナー17:00～22:00 (L.O 21:00),"￥6,000～￥7,999",無,150席,無
中華 味一,目黒区下目黒2-24-7 ハイム7 1F,目黒区,3.66,804,54139,[月～日]11:00～15:0017:30～21:00,[月～日]11:00～15:0017:30～21:00,"￥1,000～￥1,999",無,16席,無
らぁめん冠尾,渋谷区恵比寿西1-7-11 鈴木ビル 1F,渋谷区,3.66,732,26570,"[火水木金土日] 11:30〜15:00, 17:00〜22:00(L.O)","[火水木金土日] 11:30〜15:00, 17:00〜22:00(L.O)",～￥999,無,20席,無
横浜家系らーめん 二代目武道家,中野区中野3-34-32 凱旋ビル 1F,中野区,3.66,725,15830,10:00～翌2:00,10:00～翌2:00,"￥1,000～￥1,999",無,15席,無
らーめん 紬麦（つむぎ）,千代田区神田平河町1 第三東ビル B1F,千代田区,3.66,696,22756,[月〜木]11:30〜14:3018:00〜20:00(L.O.19:40)[金・土]11:30〜14:30(L.O.14:10)2023お盆期間中の営業について８月１２日、１４日〜１７日までの間昼のみの営業材料がなくなり次第終了,[月〜木]11:30〜14:3018:00〜20:00(L.O.19:40)[金・土]11:30〜14:30(L.O.14:10)2023お盆期間中の営業について８月１２日、１４日〜１７日までの間昼のみの営業材料がなくなり次第終了,～￥999,無,12席,無
麺屋33（めんやさんじゅうさん）,千代田区神田神保町1-44 竹本ビル １Ｆ,千代田区,3.66,674,19461,,,～￥999,無,14席,無
ラーメン二郎 亀戸店（らーめんじろう）,江東区亀戸4-35-17 エレガントコーポラス　１０１号,江東区,3.66,674,9587,11:00～14:0017:30～21:00,11:00～14:0017:30～21:00,～￥999,無,12席,無
らーめん えにし,品川区平塚2-18-8 藤井ビル 2F,品川区,3.66,608,16890,[水～金]11:00～15:00(L.O.14:30)17:00～21:30(L.O.21:00)[土・日・祝]11:00～17:30(L.O.17:00),[水～金]11:00～15:00(L.O.14:30)17:00～21:30(L.O.21:00)[土・日・祝]11:00～17:30(L.O.17:00),"￥1,000～￥1,999",無,14席,無
中華そば 竹むら,目黒区目黒1-6-14,目黒区,3.66,588,16075,［月～土］11:00～翌1:30※スープ無くなり次第終了［日］11:00～22:30※スープ無くなり次第終了,［月～土］11:00～翌1:30※スープ無くなり次第終了［日］11:00～22:30※スープ無くなり次第終了,～￥999,無,情報なし席,無
麺家 いし川,港区西新橋2-23-2 日比谷パークビル 1F,港区,3.66,584,17722,,,"￥1,000～￥1,999",無,12席,無
麺屋 翔 みなと,新宿区西新宿1-26-2 新宿野村ビル B2F,新宿区,3.66,573,15769,・平日11:00〜20:00・土日祝11:00〜15:30年末年始の営業のお知らせです。【みなと】30日　　昼営業まで31日　　お休み1日　　　お休み２日　　お休み3日　　営業,・平日11:00〜20:00・土日祝11:00〜15:30年末年始の営業のお知らせです。【みなと】30日　　昼営業まで31日　　お休み1日　　　お休み２日　　お休み3日　　営業,～￥999,無,19席,無
秋葉原ラーメン わいず（【旧店名】麺舎 十紋字）,千代田区外神田3-7-9,千代田区,3.66,568,14422,10:30～22:15※ スープなくなり次第終了,10:30～22:15※ スープなくなり次第終了,～￥999,無,9席,無
一龍（いちりゅう）,世田谷区北沢2-30-11 北沢ビル １Ｆ,世田谷区,3.66,528,24515,11:00～21:00（麺売り切れ次第営業終了）,11:00～21:00（麺売り切れ次第営業終了）,～￥999,無,13席,無
生姜醤油専門 我武者羅 幡ヶ谷本店（がむしゃら）,渋谷区幡ヶ谷2-1-5 弓ビル　１Ｆ,渋谷区,3.66,511,20044,11:30～15:0018:00～23:00※日曜のみ21:00閉店,11:30～15:0018:00～23:00※日曜のみ21:00閉店,～￥999,無,14席,無
川菜館（センサイカン）,千代田区神田駿河台3-7-7,千代田区,3.66,504,22600,ランチ　11：30～15：00（L.O.14：45）ディナー　17：30～22：30（L.O.22：00）※土夜のL.O.21：00 終りは21：30,ランチ　11：30～15：00（L.O.14：45）ディナー　17：30～22：30（L.O.22：00）※土夜のL.O.21：00 終りは21：30,"￥4,000～￥4,999",無,55席,無
中華そば 千乃鶏,世田谷区池尻2-36-11,世田谷区,3.66,484,21299,[平日]11:00～15:00(L.O)17:30～22:00(L.O)[土日祝]11:00～22:00(L.O),[平日]11:00～15:00(L.O)17:30～22:00(L.O)[土日祝]11:00～22:00(L.O),"￥1,000～￥1,999",無,11席,無
